Radius ,Area,Volume,Weight,Class
275.5782607,953848.8245,87.62,0.5,B
275.5782607,953848.8245,87.62,0.5,B
250.3731159,787344.9164,65.71,0.4,B
280.0855766,985306.0032,91.99,0.55,C
270.8967761,921716.3953,83.23,0.5,B
218.7099671,600795.6644,43.8,0.2,B
258.9655058,842312.9532,72.71,0.45,A
274.3778816,945557.2674,86.48,0.55,B
269.9495769,915282.0421,82.36,0.5,C
246.6997242,764411.0694,62.86,0.35,A
259.8882357,848326.2021,73.49,0.45,A
281.5997458,995988.1151,93.49,0.6,C
224.891825,635238.742,47.62,0.25,B
246.5426406,763437.917,62.74,0.35,C
260.0060615,849095.5893,73.59,0.45,C
243.4520768,744417.556,60.41,0.3,B
230.4368821,666950.5272,51.23,0.25,A
277.3905054,966435.3855,89.36,0.55,A
282.2208721,1000386.675,94.11,0.6,A
275.4838738,953195.5407,87.53,0.55,A
261.0967627,856234.2851,74.52,0.45,A
273.4866247,939424.3696,85.64,0.55,A
262.1089111,862885.5808,75.39,0.45,B
261.4699586,858683.7327,74.84,0.45,B
276.4561041,959935.397,88.46,0.55,A
280.9758672,991579.8206,92.87,0.6,A
246.5426406,763437.917,62.74,0.35,B
274.3778816,945557.2674,86.48,0.55,A
224.891825,635238.742,47.62,0.25,B
243.5057982,744746.1265,60.45,0.3,B
260.7927537,854241.5264,74.26,0.45,B
277.3905054,966435.3855,89.36,0.55,A
225.7543291,640120.615,48.17,0.25,C
271.34087,924740.8988,83.64,0.5,B
271.9020284,928569.7556,84.16,0.5,B
273.4866247,939424.3696,85.64,0.55,A
261.0967627,856234.2851,74.52,0.45,B
247.5861094,769913.9523,63.54,0.35,B
261.1434706,856540.6575,74.56,0.45,B
250.9433573,790935.4611,66.16,0.4,B
271.34087,924740.8988,83.64,0.5,B
225.7855689,640297.7865,48.19,0.25,C
256.5810762,826873.1394,70.72,0.4,B
222.0863613,619488.7395,45.86,0.2,C
271.9020284,928569.7556,84.16,0.5,B
251.3220831,793324.6356,66.46,0.4,B
277.3905054,966435.3855,89.36,0.55,B
281.5897051,995917.0911,93.48,0.6,A
247.5861094,769913.9523,63.54,0.35,B
261.0967627,856234.2851,74.52,0.45,B
277.3905054,966435.3855,89.36,0.55,A
280.57189,988730.5532,92.47,0.6,A
251.4732543,794279.2984,66.58,0.4,B
271.9020284,928569.7556,84.16,0.5,A
220.4766298,610540.9001,44.87,0.2,C
276.6746959,961454.0251,88.67,0.55,A
261.8420921,861129.6916,75.16,0.45,B
278.5138065,974278.4512,90.45,0.6,A
271.6864725,927098.0542,83.96,0.5,B
244.0283445,747945.9012,60.84,0.3,C
280.2073132,986162.698,92.11,0.6,A
276.6746959,961454.0251,88.67,0.55,A
277.3905054,966435.3855,89.36,0.55,A
276.9863721,963621.4158,88.97,0.55,A
251.3220831,793324.6356,66.46,0.4,B
261.3767595,858071.6986,74.76,0.45,B
251.4732543,794279.2984,66.58,0.4,B
244.0283445,747945.9012,60.84,0.3,C
261.8420921,861129.6916,75.16,0.45,B
276.6746959,961454.0251,88.67,0.55,A
261.8420921,861129.6916,75.16,0.45,B
280.57189,988730.5532,92.47,0.6,A
277.3905054,966435.3855,89.36,0.55,B
261.0967627,856234.2851,74.52,0.45,B
236.7827459,704189.8234,55.58,0.25,C
276.9863721,963621.4158,88.97,0.55,A
271.6864725,927098.0542,83.96,0.5,B
270.8316645,921273.3689,83.17,0.5,B
280.57189,988730.5532,92.47,0.6,A
276.6746959,961454.0251,88.67,0.55,A
251.3220831,793324.6356,66.46,0.4,B
230.0313412,664605.0891,50.96,0.2,C
236.7827459,704189.8234,55.58,0.25,C
247.6250686,770156.2732,63.57,0.35,B
276.6746959,961454.0251,88.67,0.55,A
251.3220831,793324.6356,66.46,0.4,B
280.57189,988730.5532,92.47,0.6,A
277.3905054,966435.3855,89.36,0.55,A
251.4732543,794279.2984,66.58,0.4,B
261.8420921,861129.6916,75.16,0.45,B
251.4732543,794279.2984,66.58,0.4,B
247.6250686,770156.2732,63.57,0.35,B
276.9863721,963621.4158,88.97,0.55,A
280.57189,988730.5532,92.47,0.6,A
267.9462892,901747.8866,80.54,0.5,B
276.9863721,963621.4158,88.97,0.55,A
261.8420921,861129.6916,75.16,0.45,A
276.6746959,961454.0251,88.67,0.55,A
280.57189,988730.5532,92.47,0.6,A
267.9462892,901747.8866,80.54,0.5,A
281.5897051,995917.0911,93.48,0.6,A
251.3220831,793324.6356,66.46,0.4,B
247.6250686,770156.2732,63.57,0.35,B
276.6746959,961454.0251,88.67,0.55,A
276.9863721,963621.4158,88.97,0.55,A
267.9462892,901747.8866,80.54,0.5,A
280.57189,988730.5532,92.47,0.6,A
276.9863721,963621.4158,88.97,0.55,A
281.5897051,995917.0911,93.48,0.6,A
261.8420921,861129.6916,75.16,0.45,A
267.9462892,901747.8866,80.54,0.5,A
247.6250686,770156.2732,63.57,0.35,B
251.3220831,793324.6356,66.46,0.4,A
243.9480984,747454.0741,60.78,0.3,B
241.4884497,732457.3918,58.96,0.3,B
236.7827459,704189.8234,55.58,0.25,C
230.0313412,664605.0891,50.96,0.2,C
276.9863721,963621.4158,88.97,0.55,A
261.8420921,861129.6916,75.16,0.45,A
281.5897051,995917.0911,93.48,0.6,A
280.57189,988730.5532,92.47,0.6,A
267.9462892,901747.8866,80.54,0.5,A
261.8420921,861129.6916,75.16,0.45,A
230.0313412,664605.0891,50.96,0.2,C
251.3220831,793324.6356,66.46,0.4,B
267.9462892,901747.8866,80.54,0.5,A
261.8420921,861129.6916,75.16,0.45,B
280.57189,988730.5532,92.47,0.6,A
276.9863721,963621.4158,88.97,0.55,A
251.3220831,793324.6356,66.46,0.4,B
276.9863721,963621.4158,88.97,0.55,A
246.4640237,762951.1081,62.68,0.35,B
251.3220831,793324.6356,66.46,0.4,B
246.4640237,762951.1081,62.68,0.35,B
276.9863721,963621.4158,88.97,0.55,A
275.5153432,953413.3268,87.56,0.55,A
241.4884497,732457.3918,58.96,0.3,B
234.1985154,688902.7444,53.78,0.25,C
261.8420921,861129.6916,75.16,0.45,B
251.3220831,793324.6356,66.46,0.4,B
267.9462892,901747.8866,80.54,0.5,B
276.9863721,963621.4158,88.97,0.55,B
280.57189,988730.5532,92.47,0.6,A
276.9863721,963621.4158,88.97,0.55,B
